;                        Tarifario de Traslados;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;TARIFA REGULAR POR PAX IN/OUT;;TARIFA PRIVADA POR RUTA;;;;;;;
;TRAYECTO;ADULTOS;CHILDS (2-10 años);1 - 6 PAX;7 - 21 PAX;22 - 33 PAX;34 - 54 PAX;;;;
;HTL BAYAHIBE - HTL PUNTA CANA;X;X;109,00;145,00;315,00;415,00;;;;
;HTL BAYAHIBE - HTL UVERO ALTO;X;X;129,00;190,00;310,00;550,00;;;;
;HTL BAYAHIBE - HTL CAP CANA;X;X;129,00;190,00;310,00;550,00;;;;
;HTL BAYAHIBE - HTL LA ROMANA;X;X;55,00;150,00;208,00;335,00;;;;
;HTL BAYAHIBE - HTL JUAN DOLIO;X;X;149,00;220,00;340,00;580,00;;;;
;HTL BAYAHIBE - HTL BOCA CHICA;X;X;169,00;270,00;380,00;620,00;;;;
;HTL BAYAHIBE - HTL SANTO DOMINGO;X;X;119,00;145,00;315,00;415,00;;;;
;HTL BAYAHIBE - HTL SAMANA;X;X;299,00;399,00;699,00;899,00;;;;
;HTL BAYAHIBE - HTL STGO DE LOS CABALLEROS;X;X;279,00;379,00;659,00;859,00;;;;
;HTL BAYAHIBE - HTL PUERTO PLATA;X;X;280,00;520,00;990,00;1400,00;;;;
;HTL BAYAHIBE - HTL CABARETE;X;X;380,00;690,00;1090,00;1550,00;;;;
;HTL BAYAHIBE - HTL MICHES;X;X;400,00;680,00;880,00;1300,00;;;;
;HTL LA ROMANA - HTL PUNTA CANA;X;X;119,00;145,00;315,00;415,00;;;;
;HTL LA ROMANA - HTL UVERO ALTO;X;X;149,00;220,00;340,00;580,00;;;;
;HTL LA ROMANA - HTL CAP CANA;X;X;119,00;145,00;315,00;415,00;;;;
;HTL LA ROMANA - HTL BAYAHIBE;X;X;55,00;150,00;208,00;335,00;;;;
;HTL LA ROMANA - HTL JUAN DOLIO;X;X;119,00;145,00;315,00;415,00;;;;
;HTL LA ROMANA - HTL BOCA CHICA;X;X;119,00;145,00;315,00;415,00;;;;
;HTL LA ROMANA - HTL SANTO DOMINGO;X;X;119,00;145,00;315,00;415,00;;;;
;HTL LA ROMANA - HTL SAMANA;X;X;299,00;509,00;599,00;699,00;;;;
;HTL LA ROMANA - HTL STGO DE LOS CABALLEROS;X;X;199,00;249,00;359,00;409,00;;;;
;HTL LA ROMANA - HTL PUERTO PLATA;X;X;259,00;459,00;599,00;699,00;;;;
;HTL LA ROMANA - HTL CABARETE;X;X;359,00;659,00;699,00;789,00;;;;
;HTL LA ROMANA - HTL MICHES;X;X;359,00;459,00;659,00;789,00;;;;
;HTL JUAN DOLIO - HTL PUNTA CANA;X;X;159,00;279,00;439,00;489,00;;;;
;HTL JUAN DOLIO - HTL UVERO ALTO;X;X;149,00;220,00;340,00;580,00;;;;
;HTL JUAN DOLIO - HTL CAP CANA;X;X;149,00;220,00;340,00;580,00;;;;
;HTL JUAN DOLIO - HTL BAYAHIBE;X;X;149,00;220,00;340,00;580,00;;;;
;HTL JUAN DOLIO - HTL LA ROMANA;X;X;119,00;145,00;315,00;415,00;;;;
;HTL JUAN DOLIO - HTL BOCA CHICA;X;X;89,00;219,00;439,00;489,00;;;;
;HTL JUAN DOLIO - HTL SANTO DOMINGO;X;X;49,00;139,00;199,00;299,00;;;;
;HTL JUAN DOLIO - HTL SAMANA;X;X;299,00;489,00;689,00;799,00;;;;
;HTL JUAN DOLIO - HTL STGO DE LOS CABALLEROS;X;X;299,00;489,00;689,00;799,00;;;;
;HTL JUAN DOLIO - HTL PUERTO PLATA;X;X;269,00;499,00;689,00;799,00;;;;
;HTL JUAN DOLIO - HTL CABARETE;X;X;359,00;499,00;699,00;799,00;;;;
;HTL JUAN DOLIO - HTL MICHES;X;X;359,00;459,00;659,00;789,00;;;;
;HTL BOCA CHICA - HTL PUNTA CANA;X;X;169,00;289,00;449,00;499,00;;;;
;HTL BOCA CHICA - HTL UVERO ALTO;X;X;129,00;190,00;310,00;550,00;;;;
;HTL BOCA CHICA - HTL CAP CANA;X;X;149,00;220,00;340,00;580,00;;;;
;HTL BOCA CHICA - HTL BAYAHIBE;X;X;149,00;220,00;340,00;580,00;;;;
;HTL BOCA CHICA - HTL LA ROMANA;X;X;119,00;145,00;315,00;415,00;;;;
;HTL BOCA CHICA - HTL JUAN DOLIO;X;X;89,00;219,00;439,00;489,00;;;;
;HTL BOCA CHICA - HTL SANTO DOMINGO;X;X;49,00;139,00;199,00;299,00;;;;
;HTL BOCA CHICA - HTL SAMANA;X;X;300,00;540,00;1000,00;1200,00;;;;
;HTL BOCA CHICA - HTL STGO DE LOS CABALLEROS;X;X;280,00;520,00;990,00;1400,00;;;;
;HTL BOCA CHICA - HTL PUERTO PLATA;X;X;280,00;520,00;990,00;1400,00;;;;
;HTL BOCA CHICA - HTL CABARETE;X;X;380,00;690,00;1090,00;1550,00;;;;
;HTL BOCA CHICA - HTL MICHES;X;X;359,00;459,00;659,00;789,00;;;;
;HTL SANTO DOMINGO - HTL PUNTA CANA;X;X;159,00;279,00;439,00;489,00;;;;
;HTL SANTO DOMINGO - HTL UVERO ALTO;X;X;169,00;269,00;399,00;489,00;;;;
;HTL SANTO DOMINGO - HTL CAP CANA;X;X;149,00;220,00;340,00;580,00;;;;
;HTL SANTO DOMINGO - HTL BAYAHIBE;X;X;149,00;220,00;340,00;580,00;;;;
;HTL SANTO DOMINGO - HTL LA ROMANA;X;X;119,00;145,00;315,00;415,00;;;;
;HTL SANTO DOMINGO - HTL JUAN DOLIO;X;X;89,00;219,00;439,00;489,00;;;;
;HLT SANTO DOMINGO - HTL BOCA CHICA;X;X;49,00;139,00;199,00;299,00;;;;
;HTL SANTO DOMINGO - HTL STGO DE LOS CABALLEROS;X;X;199,00;399,00;629,00;789,00;;;;
;HTL SANTO DOMINGO - HTL PUERTO PLATA;X;X;199,00;399,00;629,00;789,00;;;;
;HTL SANTO DOMINGO -  HTL CABARETE;X;X;259,00;429,00;609,00;799,00;;;;
;HTL SANTO DOMINGO - HTL MICHES;X;X;299,00;489,00;599,00;1219,00;;;;
;HTL SANTO DOMINGO - HTL SAMANA;X;X;199,00;489,00;599,00;699,00;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
